"Agency Name:","County of Court","Submitted","Nature of the investigation","Order Served on","Business Name","Items to be searched for:","Start Date for Info","End Date for Info","Grounds for Issuance","Reasons for Delay (if any)","Emergency?","Facts giving rise to the emergency"
"L.A. IMPACT","Los Angeles","01/04/2017 - 15:58","Narcotics Information","Device Only"," ","Location information","2016-09-06","2016-10-06","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Riverside County Sheriff Department ","Riverside","01/04/2017 - 17:54","Burglary investigation","Business","Facebook","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-10-05","2016-11-01","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"los altos pd ","Santa Clara","01/05/2017 - 09:40","530.5 PC, 459 PC ","Business","Cricket Wireless ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Communications (email, text, voice mail, or other communication)
","2016-12-27","2017-01-01","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Beaumont Police Department","Riverside","01/05/2017 - 09:54","211PC investigation","Device Only"," ","Basic subscriber information from a service provider
Location information
Communications (email, text, voice mail, or other communication)
","2016-11-29","2016-12-28","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Los Angeles Police Department","Los Angeles","01/05/2017 - 13:09","Murder Investigation","Device Only"," ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-08-01","2016-08-26","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to flight from prosecution
lead to destruction of or tampering with evidence
","No"," "
"Los Angeles Police Department","Los Angeles","01/05/2017 - 14:04","Murder Investigation","Business
Device Only
","T-Mobile, AT&T, Verizon, Facebook, Instagram","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-01-01","2016-08-26","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Los Angeles Police Department","Los Angeles","01/05/2017 - 14:11","Murder Investigation","Business
Device Only
","T-Mobile, AT&T, Verizon","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-01-01","2016-10-28","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Los Angeles Police Department","Los Angeles","01/05/2017 - 15:40","Murder Investigation","Business
Device Only
","T-Mobile, Sprint","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-01-01","2016-10-28","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Los Angeles Police Department","Los Angeles","01/05/2017 - 15:46","Murder Investigation","Business","Sprint","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-01-01","2016-10-19","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Auburn Police Department","Placer","01/06/2017 - 09:32","Students at E.V Cain Middle School in Auburn CA and be messaged via Instant Messenger on the social media site called Instagram by an unknown person calling themselves the.c.c.c_. Per the message, the unknown person claimed they were a clown and they were coming to the school and kill you unless they passed the message onto 10 other people. The students took this as a credible threat and notified law enforcement. Based on this information a search warrant was issued to find the owner of the account and file charges for ca penal code 422.","Business","Wave Broadband and Verizon Wireless","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-07-31","2016-10-06","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
"," ","No"," "
"Long Beach Police Department","Los Angeles","01/06/2017 - 15:37","Attempt to arrest Ricardo Barron for a felony warrant","Business","T-Mobile","Basic subscriber information from a service provider
Location information
Communications (email, text, voice mail, or other communication)
","2016-12-05","2016-12-31","there is a warrant to arrest a person","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"LA IMPACT","Los Angeles","01/09/2017 - 14:09","Sales of Narcotics.","Device Only"," ","Location information","2016-09-26","2016-10-26","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Kingsburg Police Department ","Fresno","01/09/2017 - 14:14","On 04/04/2016 at 0923 hours, Brian Price contacted Officer Eric Vasquez of the Kingsburg Police Department, to report his identity had been compromised by an unknown person trying to obtain an Amazon.Com Visa Signature Card under his contact information. Price also told Vasquez he received notification by several Fresno and Clovis businesses, that attempts to purchase goods through mail order credit lines had also been discovered using Prices’ contact information. Price told Vasquez that he had never used the assumed names given under each transaction, and had not incurred any physical liability that he knew of, but took immediate measures to notify credit bureaus that his identity had been compromised. 

I received the case on 12/01/2016, and began investigating the matter further. I was able to make contact with Jake De La Cerda, who worked for the Fraud Application Department of JP Morgan Chase & Co. (Bank that sponsors Amazon.Com Visa Card Lines of Credit), who provided me with information about a possible suspect(s) who initiated the line of credit utilizing Price’s personal information. De La Cerda provided me with the date, time, credit card application reference number, email address, and technology based IP address of where the transaction was completed. De La Cerda emailed me a copy of the information, which I used to locate the internet provider information. 

I learned Comcast Cable Communications Inc. was the internet provider and owner/operator for IP address 50.143.226.197, used on the dates and times (03/17/2016 at 18:26 EST) the suspect(s) tried to obtain the line of credit. I obtained Comcast’s information through a web based company that specializes in gathering IP registration information. I used the information to contact Comcast Security Breach Operations Member, Tom Stevens who informed me he would be able to assist me with the information I was seeking from the IP address, after I provided him with a validated search warrant. Stevens also informed me that the information would take approximately 30 days to gather. 


Your Affiant subsequently initiated a search in the American Registry for Internet Numbers (ARIN) and revealed the IP address 50.143.226.197 is owned by internet service provider, Comcast Cable Communications Inc.  Your Affiant believes that Comcast Cable Inc.  will have subscriber information pertaining to the identity of the suspect(s) who used IP address; 50.143.226.197, utilized on 03/17/2016 at 18:26 EST to try and obtain a line of credit using the victims personal identifying information and have the mailed to the victims house, located on 1350 Kamm Ave. Kingsburg, CA 93631.

Based on my training and experience, I believe the requested information is being held by all carriers listed in Attachment B. This information is relevant to an investigation concerning the offense of identity theft. 

Your Affiant has reasonable cause to believe that grounds for the issuance of a search warrant exist, as set forth in Section 1524 of the Penal Code of the State of California, based upon the aforementioned information, facts and circumstances.  Furthermore, based on my experience with wireless communication companies, information related to accounts and electronic communications may take some time to retrieve.  Because of this, it is requested that a 30-day extension on the search warrant return be authorized.

IT IS HEREBY ORDERED, based upon the showing in the Statement of Probable Cause / Affidavit by your Affiant (David Pugliese), that it reasonably appears necessary to extend the time for Return to Search Warrant for 30 days to January 22, 2017.
","Business","Comcast Cable Communications Inc.","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Communications (email, text, voice mail, or other communication)
","2016-03-17","2016-03-17","was stolen or embezzled
was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"REACT","Santa Clara","01/10/2017 - 06:50","The warrant was issued as part of an identity theft investigation conducted by the REACT Taskforce.","Business","Apple","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-05-13","2017-01-09","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"San Jose Police Department","Santa Clara","01/10/2017 - 09:42","Homicide Investigation.","Business","Facebook","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2015-11-01","2016-01-31","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"San Jose Police Department","Santa Clara","01/10/2017 - 09:46","Homicide Investigation","Device Only"," ","Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2015-08-01","2016-01-31","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"San Jose Police Department","Santa Clara","01/10/2017 - 09:49","Homicide investigation.","Device Only"," ","Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2015-08-01","2016-01-31","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"L.A. IMPACT","Los Angeles","01/10/2017 - 11:40","Narcotics Investigation","Device Only"," ","Location information","2016-10-12","2016-11-11","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"San Jose Police Department","Santa Clara","01/10/2017 - 13:55","Homicide Investigation.","Business","Facebook","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-01-01","2016-09-22","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
","No"," "
"Los Angeles Airport Police","Los Angeles","01/10/2017 - 15:01","Stolen vehicle investigation lead to the recovery of a laptop computer.  Along with the computer were numerous pieces of personal information indicative of identity theft.  It is believed there is additional evidence of criminal activity inside the computer.","Device Only"," ","Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-10-20","2016-12-20","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
"," ","No"," "
"Sacramento County Sheriff's Department","Sacramento","01/10/2017 - 16:11","Officer involved shooting incident.  Search warrant related to phone records of suspect.","Device Only"," ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-11-01","2016-11-25","was used as the means of committing a felony"," ","No"," "
"DEA","Los Angeles","01/10/2017 - 16:32","Narcotics related","Device Only"," ","Location information","2016-10-13","2016-10-23","is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Irvine PD","Orange","01/10/2017 - 18:41","Investigation of CPC 288","Business","AirMedia","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2015-08-01","2016-12-20","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence","No"," "
"Irvine PD","Orange","01/10/2017 - 18:42","Investigation of CPC 288","Business","AirMedia","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2015-08-01","2017-01-03","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Beaumont Police Department","Riverside","01/10/2017 - 19:16","211 PC investigation.","Device Only"," ","Location information","2017-01-04","2017-01-09","A flight from prosecution.","lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Sacramento Police","Sacramento","01/11/2017 - 08:28","Homicide","Device Only"," ","Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-01-01","2016-10-13","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Los Angeles County Sheriff","Los Angeles","01/11/2017 - 08:29","Identity Theft","Business","T-Mobile","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Communications (email, text, voice mail, or other communication)
","2016-10-01","2016-11-14","tends to show that a felony has been committed or that a particular person has committed a felony
A warrant for a suspect's arrest 
","lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Los Angeles County Sheriff","Los Angeles","01/11/2017 - 09:24","Identity Theft","Business","VoIP Innovations","Basic subscriber information from a service provider
Other transactional and account records from a service provider
","2015-06-01","2016-04-30","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Los Angeles County Sheriff","Los Angeles","01/11/2017 - 09:27","Identity Theft","Business","Ooma","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2015-06-01","2016-04-30","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Los Angeles County Sheriff","Los Angeles","01/11/2017 - 09:30","Identity Theft","Business","Verizon","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2015-09-01","2016-06-29","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Los Angeles County Sheriff","Los Angeles","01/11/2017 - 09:32","Identity Theft","Business","Ooma","Basic subscriber information from a service provider
Other transactional and account records from a service provider
","2015-06-01","2016-04-30","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Los Angeles County Sheriff","Los Angeles","01/11/2017 - 09:35","Identity Theft","Business","O1 Communications","Basic subscriber information from a service provider
Other transactional and account records from a service provider
","2015-06-01","2016-04-30","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Los Angeles County Sheriff","Los Angeles","01/11/2017 - 09:37","Identity Theft","Business","Perfect Privacy","Basic subscriber information from a service provider","2015-06-01","2015-06-30","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Los Angeles County Sheriff","Los Angeles","01/11/2017 - 09:41","Identity Theft ","Business","United Voicemail","Basic subscriber information from a service provider
Other transactional and account records from a service provider
IP Session Logs and billing records
","2015-06-01","2016-04-30","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Los Angeles County Sheriff","Los Angeles","01/11/2017 - 09:43","Identity Theft","Business","Yodlee.com","Basic subscriber information from a service provider","2015-11-23","2015-11-23","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"California Department of Insurance","San Bernardino","01/11/2017 - 09:52","Insurance Fraud","Business","Microsoft Corporation","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2015-04-21","2015-07-28","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
"," ","No"," "
"San Jose Police Department","Santa Clara","01/11/2017 - 10:34","A string of residential burglaries occurring at various locations throughout the city of San Jose during 2015-2016.","Device Only"," ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Communications (email, text, voice mail, or other communication)
","2015-01-20","2016-03-22","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
"," ","No"," "
"San Jose Police Department","Santa Clara","01/11/2017 - 10:37","A string of residential burglaries occurring at various locations throughout the city of San Jose during 2015-2016.","Device Only"," ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Communications (email, text, voice mail, or other communication)
","2015-01-20","2016-03-22","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
"," ","No"," "
"Ventura County Sheriff's Office","Ventura","01/11/2017 - 10:52","192(b) PC and 11352(a) H&S","Business
Device Only
","Verizon Wireless","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-07-20","2016-12-29","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Ventura county Sheriff's Office","Ventura","01/11/2017 - 10:54","192(b) PC and 11352(a) H&S","Business
Device Only
","Verizon Wireless","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-07-20","2016-12-29","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Los Angeles County Sheriff's Department ","Los Angeles","01/11/2017 - 12:19","Death investigation in Los Angeles County.","Business","Sprint Corporation, T-mobile and Verizon Wireless","Basic subscriber information from a service provider
Location information
Communications (email, text, voice mail, or other communication)
","2016-01-08","2016-07-08","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"San Mateo County District Attorney's Office","San Mateo","01/11/2017 - 15:53","Fugitive
","Device Only"," ","Location information","2017-01-10","2017-02-10","Warrant to Arrest","lead to flight from prosecution","No"," "
"Anaheim Police Department","Orange","01/11/2017 - 16:28","Pimping and Pandering","Device Only"," ","Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2015-10-12","2016-08-12","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
","No"," "
"Orange County Sheriff's Department","Orange","01/12/2017 - 07:33","CPC 187, Murder, Investigation","Business","T-Mobile/Metro PCS","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Communications (email, text, voice mail, or other communication)
","2015-04-01","2015-09-01","tends to show that a felony has been committed or that a particular person has committed a felony","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Siskiyou County Sheriff Department","Siskiyou","01/12/2017 - 08:45","On July 6, 2016, there was two homicides in the county of Siskiyou.  One of the victims was John Doyle.  The other victim was his wife, Carol Doyle.  In the investigation John and Carol's son, Damion Doyle, was arrested and charged for two counts of homicide.  In Dec. 2016, I learned John had a separate email account with the user name elyod.n.j@gmail.com.  I authored a search warrant affidavit for John Doyle's google gmail account for emails between him and his son, Damion.  From the time period specified 1-1-2016 through 7-26-2016.  I believe there are emails between them which would have evidence towards motive.  Judge Masunaga signed the warrant affidavit.   ","Business","Google Inc.","Basic subscriber information from a service provider
Communications (email, text, voice mail, or other communication)
IP History
","2016-01-01","2016-07-26","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Walnut Creek Police Department","Contra Costa","01/12/2017 - 11:03","Homicide - PC 187","Business
Device Only
","Sprint PCS","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2015-08-01","2016-10-19","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"South Pasadena PD","Los Angeles","01/12/2017 - 11:23","PC 182","Device Only"," ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
","2016-11-10","2016-12-10","was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"South Pasadena Police","Los Angeles","01/12/2017 - 11:27","PC 182","Device Only"," ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
","2016-11-14","2016-12-14","was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"South Pasadena Police","Los Angeles","01/12/2017 - 11:31","PC 182","Device Only"," ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
","2016-11-16","2016-12-16","was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Sacramento Sheriff's Department","Sacramento","01/12/2017 - 13:37","Homicide investigation per PC 187","Device Only"," ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-06-01","2016-11-30","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"South Pasadena Police","Los Angeles","01/12/2017 - 13:38","PC 182","Device Only"," ","Stored files (picture, documents, or other files)","2016-08-23","2017-01-04","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
