,Agency Name:,County of Court,Submitted,Nature of the investigation,Order Served on,Business Name,Items to be searched for:,Start Date for Info,End Date for Info,Grounds for Issuance,Reasons for Delay (if any),Emergency?,Facts giving rise to the emergency
45,California Department of Insurance,San Bernardino,01/11/2017 - 09:52,Insurance Fraud,Business,Microsoft Corporation,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2015-04-21,2015-07-28,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
", ,No, 
46,San Jose Police Department,Santa Clara,01/11/2017 - 10:34,A string of residential burglaries occurring at various locations throughout the city of San Jose during 2015-2016.,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Communications (email, text, voice mail, or other communication)
",2015-01-20,2016-03-22,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
", ,No, 
47,San Jose Police Department,Santa Clara,01/11/2017 - 10:37,A string of residential burglaries occurring at various locations throughout the city of San Jose during 2015-2016.,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Communications (email, text, voice mail, or other communication)
",2015-01-20,2016-03-22,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
", ,No, 
48,Ventura County Sheriff's Office,Ventura,01/11/2017 - 10:52,192(b) PC and 11352(a) H&S,"Business
Device Only
",Verizon Wireless,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-07-20,2016-12-29,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
49,Ventura county Sheriff's Office,Ventura,01/11/2017 - 10:54,192(b) PC and 11352(a) H&S,"Business
Device Only
",Verizon Wireless,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-07-20,2016-12-29,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
50,Los Angeles County Sheriff's Department ,Los Angeles,01/11/2017 - 12:19,Death investigation in Los Angeles County.,Business,"Sprint Corporation, T-mobile and Verizon Wireless","Basic subscriber information from a service provider
Location information
Communications (email, text, voice mail, or other communication)
",2016-01-08,2016-07-08,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, 
51,San Mateo County District Attorney's Office,San Mateo,01/11/2017 - 15:53,"Fugitive
",Device Only, ,Location information,2017-01-10,2017-02-10,Warrant to Arrest,lead to flight from prosecution,No, 
52,Anaheim Police Department,Orange,01/11/2017 - 16:28,Pimping and Pandering,Device Only, ,"Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2015-10-12,2016-08-12,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
",No, 
53,Orange County Sheriff's Department,Orange,01/12/2017 - 07:33,"CPC 187, Murder, Investigation",Business,T-Mobile/Metro PCS,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Communications (email, text, voice mail, or other communication)
",2015-04-01,2015-09-01,tends to show that a felony has been committed or that a particular person has committed a felony,"endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
55,Walnut Creek Police Department,Contra Costa,01/12/2017 - 11:03,Homicide - PC 187,"Business
Device Only
",Sprint PCS,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2015-08-01,2016-10-19,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
56,South Pasadena PD,Los Angeles,01/12/2017 - 11:23,PC 182,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
",2016-11-10,2016-12-10,"was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
57,South Pasadena Police,Los Angeles,01/12/2017 - 11:27,PC 182,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
",2016-11-14,2016-12-14,"was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
58,South Pasadena Police,Los Angeles,01/12/2017 - 11:31,PC 182,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
",2016-11-16,2016-12-16,"was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
59,Sacramento Sheriff's Department,Sacramento,01/12/2017 - 13:37,Homicide investigation per PC 187,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-06-01,2016-11-30,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
61,Alameda County Sheriff's Office,Alameda,01/12/2017 - 14:45,Homicide,Business,T-mobile/Metro PCS,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-05-13,2016-07-24,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
",otherwise seriously jeopardize an investigation or unduly delay a trial,No, 
62,Univ.of Cal Riv PD,Riverside,01/12/2017 - 15:16,"Grand theft fraud relating to a rental sceme. Suspect posted a fake rental ad on Craigslist and victim responded to the ad and sent suspect $6,969 dollars via wire transfers for services not provided.",Business,Craigslist Inc.,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-07-16,2017-01-04,"is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
A provider of electronic communication service has records of evidence, as Specified in Penal Code section 1524.3
",otherwise seriously jeopardize an investigation or unduly delay a trial,No, 
64,Sacramento Police Department,Sacramento,01/16/2017 - 09:28,"Armed Robbery Investigation. Details within the report listed an online advertisement company and phone number which the victim corresponded with and arranged a meeting for a date, which resulted in him being robbed.",Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-10-04,2016-10-07,was used as the means of committing a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
",No, 
66,LAPD,Los Angeles,01/17/2017 - 09:10,Criminal investigation,Device Only, ,"Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
also to include Facebook information 
",2016-11-01,2016-12-05,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, 
67,Alameda County Sheriff's Office,Alameda,01/18/2017 - 09:33,Homicide Investigation,Business,T-mobile/Metro PCS,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-06-01,2016-09-06,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
",otherwise seriously jeopardize an investigation or unduly delay a trial,No, 
68,San Mateo County DA's Office,San Mateo,01/18/2017 - 10:29,Search of a Decedent's iPhone for information associated with her murder.,Device Only, ,"Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-12-15,2016-12-30,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, 
70,Butte County Sheriff's Office ,Butte,01/18/2017 - 13:28,Searching cell phones for more evidence in a thief case ,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
any data from applications on device
",2016-02-05,2017-01-18,was used as the means of committing a felony, ,No, 
72,Monterey County Sheriff's Office,Monterey,01/19/2017 - 12:53,Homicide Investigation,Business,Metro PCS,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-03-01,2016-03-30,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, 
73,TUrlock Police Department,Stanislaus,01/19/2017 - 13:44,Homicide Investigation ,"Business
Device Only
",Sprint,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Communications (email, text, voice mail, or other communication)
",2016-10-01,2018-10-31,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, 
76,Milpitas Police Department,Santa Clara,01/19/2017 - 14:57,Child Exploitation ,Business,Yahoo! Inc.,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-09-01,2016-10-01,"was used as the means of committing a felony
tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring
","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
78,Sacramento Police Department,Sacramento,01/20/2017 - 15:58,215 PC - Carjacking and 207 PC - Kidnapping,Device Only, ,"Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2015-01-23,2016-12-02,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, 
80,Sacramento Police Department,Sacramento,01/23/2017 - 09:00,Robbery investigation. Two cell phones were seized from suspect vehicle at termination of vehicle pursuit. Forensic examinations on seized cell phones.,Device Only, ,"Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-12-29,2017-01-09,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
84,San Diego Police Department,San Diego,01/24/2017 - 09:58,Homicide Investigation,Business,Verizon Wireless,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-08-01,2016-10-27,"is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
",otherwise seriously jeopardize an investigation or unduly delay a trial,No, 
85,San Diego Police Department,San Diego,01/24/2017 - 10:00,Homicide Investigation,Business,Verizon Wireless,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-08-01,2016-10-27,"is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
",otherwise seriously jeopardize an investigation or unduly delay a trial,No, 
86,DAVIS POLICE DEPARTMENT,Yolo,01/24/2017 - 11:21,Luring a Minor (§288.3 PC) and Attempt/Extortion (§664/518 PC) investigation.,Business,INSTAGRAM LLC,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-12-29,2016-12-29,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
", ,No, 
87,LA IMPACT,Los Angeles,01/24/2017 - 11:44,Narcotics Investigation,Device Only, ,Location information,2016-10-12,2016-10-20,"was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
", ,No, 
93,SBCSD,San Bernardino,01/24/2017 - 14:47,Narcotics investigation,Device Only, ,"Basic subscriber information from a service provider
Location information
",2016-09-19,2016-09-23,is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery,lead to destruction of or tampering with evidence,No, 
94,SBCSD,San Bernardino,01/24/2017 - 15:01,Narcotics Investigation,Device Only, ,"Basic subscriber information from a service provider
Location information
",2016-09-26,2016-10-27,is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery,lead to destruction of or tampering with evidence,No, 
95,SBCSD,San Bernardino,01/24/2017 - 15:06,Narcotics Investigation,Device Only, ,"Basic subscriber information from a service provider
Location information
",2016-09-30,2016-10-30,is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery,lead to destruction of or tampering with evidence,No, 
96,SBCSD,San Bernardino,01/24/2017 - 15:11,Narcotics investigation,Device Only, ,"Basic subscriber information from a service provider
Location information
",2016-10-03,2016-11-04,is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery,lead to destruction of or tampering with evidence,No, 
97,SBCSD,San Bernardino,01/24/2017 - 15:19,Narcotics investigation,Device Only, ,"Basic subscriber information from a service provider
Location information
",2016-10-05,2016-11-06,is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery,lead to destruction of or tampering with evidence,No, 
99,Sacramento County Sheriff,Sacramento,01/24/2017 - 16:11,This search warrant was in connection to an investigation of an assault on a peace officer with a semi-automatic weapon.,Device Only, ,"Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2015-01-25,2017-01-24,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, 
